state,county,candidate,party,votes,won
Indiana,Gibson  ,Eric Holcomb,REP,11607,TRUE
Indiana,Gibson  ,Woody Myers,DEM,2990,FALSE
Indiana,Gibson  ,Donald Rainwater,LIB,1533,FALSE
Indiana,Grant  ,Eric Holcomb,REP,16847,TRUE
Indiana,Grant  ,Woody Myers,DEM,5849,FALSE
Indiana,Grant  ,Donald Rainwater,LIB,4325,FALSE
Indiana,Greene  ,Eric Holcomb,REP,9579,TRUE
Indiana,Greene  ,Donald Rainwater,LIB,2604,FALSE
Indiana,Greene  ,Woody Myers,DEM,2511,FALSE
Indiana,Hamilton  ,Eric Holcomb,REP,117749,TRUE
Indiana,Hamilton  ,Woody Myers,DEM,58714,FALSE
Indiana,Hamilton  ,Donald Rainwater,LIB,17121,FALSE
Indiana,Hancock  ,Eric Holcomb,REP,25647,TRUE
Indiana,Hancock  ,Donald Rainwater,LIB,8624,FALSE
Indiana,Hancock  ,Woody Myers,DEM,8538,FALSE
Indiana,Harrison  ,Eric Holcomb,REP,14083,TRUE
Indiana,Harrison  ,Woody Myers,DEM,4514,FALSE
Indiana,Harrison  ,Donald Rainwater,LIB,1602,FALSE
Indiana,Hendricks  ,Eric Holcomb,REP,50697,TRUE
Indiana,Hendricks  ,Woody Myers,DEM,23179,FALSE
Indiana,Hendricks  ,Donald Rainwater,LIB,14246,FALSE
Indiana,Henry  ,Eric Holcomb,REP,12591,TRUE
Indiana,Henry  ,Donald Rainwater,LIB,4442,FALSE
Indiana,Henry  ,Woody Myers,DEM,4127,FALSE
Indiana,Howard  ,Eric Holcomb,REP,24359,TRUE
Indiana,Howard  ,Woody Myers,DEM,9871,FALSE
Indiana,Howard  ,Donald Rainwater,LIB,6317,FALSE
Indiana,Huntington  ,Eric Holcomb,REP,11759,TRUE
Indiana,Huntington  ,Donald Rainwater,LIB,3168,FALSE
Indiana,Huntington  ,Woody Myers,DEM,2804,FALSE
Indiana,Jackson  ,Eric Holcomb,REP,11714,TRUE
Indiana,Jackson  ,Donald Rainwater,LIB,4188,FALSE
Indiana,Jackson  ,Woody Myers,DEM,3234,FALSE
Indiana,Jasper  ,Eric Holcomb,REP,10378,TRUE
Indiana,Jasper  ,Woody Myers,DEM,2904,FALSE
Indiana,Jasper  ,Donald Rainwater,LIB,2089,FALSE
Indiana,Jay  ,Eric Holcomb,REP,5227,TRUE
Indiana,Jay  ,Donald Rainwater,LIB,1938,FALSE
Indiana,Jay  ,Woody Myers,DEM,1240,FALSE
Indiana,Jefferson  ,Eric Holcomb,REP,9076,TRUE
Indiana,Jefferson  ,Woody Myers,DEM,3711,FALSE
Indiana,Jefferson  ,Donald Rainwater,LIB,1750,FALSE
Indiana,Jennings  ,Eric Holcomb,REP,7547,TRUE
Indiana,Jennings  ,Donald Rainwater,LIB,2676,FALSE
Indiana,Jennings  ,Woody Myers,DEM,1930,FALSE
Indiana,Johnson  ,Eric Holcomb,REP,47467,TRUE
Indiana,Johnson  ,Woody Myers,DEM,17630,FALSE
Indiana,Johnson  ,Donald Rainwater,LIB,12177,FALSE
Indiana,Knox  ,Eric Holcomb,REP,11210,TRUE
Indiana,Knox  ,Woody Myers,DEM,2809,FALSE
Indiana,Knox  ,Donald Rainwater,LIB,1821,FALSE
Indiana,Kosciusko  ,Eric Holcomb,REP,23029,TRUE
Indiana,Kosciusko  ,Donald Rainwater,LIB,6845,FALSE
Indiana,Kosciusko  ,Woody Myers,DEM,5784,FALSE
Indiana,LaGrange  ,Eric Holcomb,REP,7520,TRUE
Indiana,LaGrange  ,Woody Myers,DEM,1690,FALSE
Indiana,LaGrange  ,Donald Rainwater,LIB,1365,FALSE
Indiana,Lake  ,Woody Myers,DEM,112352,TRUE
Indiana,Lake  ,Eric Holcomb,REP,94841,FALSE
Indiana,Lake  ,Donald Rainwater,LIB,10039,FALSE
Indiana,LaPorte  ,Eric Holcomb,REP,26123,TRUE
Indiana,LaPorte  ,Woody Myers,DEM,18126,FALSE
Indiana,LaPorte  ,Donald Rainwater,LIB,4356,FALSE
Indiana,Lawrence  ,Eric Holcomb,REP,13371,TRUE
Indiana,Lawrence  ,Donald Rainwater,LIB,3881,FALSE
Indiana,Lawrence  ,Woody Myers,DEM,3616,FALSE
Indiana,Madison  ,Eric Holcomb,REP,29434,TRUE
Indiana,Madison  ,Woody Myers,DEM,14254,FALSE
