state,county,candidate,party,votes,won
New Hampshire,Winchester, Write-ins,WRI,0,FALSE
New Hampshire,Berlin,Chris Sununu,REP,2547,TRUE
New Hampshire,Berlin,Dan Feltes,DEM,1381,FALSE
New Hampshire,Berlin,Darryl Perry,LIB,97,FALSE
New Hampshire,Berlin, Write-ins,WRI,0,FALSE
New Hampshire,Carroll,Chris Sununu,REP,371,TRUE
New Hampshire,Carroll,Dan Feltes,DEM,159,FALSE
New Hampshire,Carroll,Darryl Perry,LIB,4,FALSE
New Hampshire,Carroll, Write-ins,WRI,0,FALSE
New Hampshire,Clarksville,Chris Sununu,REP,132,TRUE
New Hampshire,Clarksville,Dan Feltes,DEM,39,FALSE
New Hampshire,Clarksville,Darryl Perry,LIB,9,FALSE
New Hampshire,Clarksville, Write-ins,WRI,0,FALSE
New Hampshire,Colebrook,Chris Sununu,REP,808,TRUE
New Hampshire,Colebrook,Dan Feltes,DEM,239,FALSE
New Hampshire,Colebrook,Darryl Perry,LIB,9,FALSE
New Hampshire,Colebrook, Write-ins,WRI,0,FALSE
New Hampshire,Columbia,Chris Sununu,REP,287,TRUE
New Hampshire,Columbia,Dan Feltes,DEM,70,FALSE
New Hampshire,Columbia,Darryl Perry,LIB,7,FALSE
New Hampshire,Columbia, Write-ins,WRI,0,FALSE
New Hampshire,Dalton,Chris Sununu,REP,371,TRUE
New Hampshire,Dalton,Dan Feltes,DEM,138,FALSE
New Hampshire,Dalton,Darryl Perry,LIB,10,FALSE
New Hampshire,Dalton, Write-ins,WRI,0,FALSE
New Hampshire,Dixville,Chris Sununu,REP,4,TRUE
New Hampshire,Dixville,Dan Feltes,DEM,1,FALSE
New Hampshire,Dixville,Darryl Perry,LIB,0,FALSE
New Hampshire,Dixville, Write-ins,WRI,0,FALSE
New Hampshire,Dummer,Chris Sununu,REP,128,TRUE
New Hampshire,Dummer,Dan Feltes,DEM,53,FALSE
New Hampshire,Dummer,Darryl Perry,LIB,3,FALSE
New Hampshire,Dummer, Write-ins,WRI,0,FALSE
New Hampshire,Errol,Chris Sununu,REP,190,TRUE
New Hampshire,Errol,Dan Feltes,DEM,29,FALSE
New Hampshire,Errol,Darryl Perry,LIB,3,FALSE
New Hampshire,Errol, Write-ins,WRI,0,FALSE
New Hampshire,Gorham,Chris Sununu,REP,1066,TRUE
New Hampshire,Gorham,Dan Feltes,DEM,566,FALSE
New Hampshire,Gorham,Darryl Perry,LIB,29,FALSE
New Hampshire,Gorham, Write-ins,WRI,1,FALSE
New Hampshire,Jefferson,Chris Sununu,REP,489,TRUE
New Hampshire,Jefferson,Dan Feltes,DEM,162,FALSE
New Hampshire,Jefferson,Darryl Perry,LIB,6,FALSE
New Hampshire,Jefferson, Write-ins,WRI,0,FALSE
New Hampshire,Lancaster,Chris Sununu,REP,1189,TRUE
New Hampshire,Lancaster,Dan Feltes,DEM,490,FALSE
New Hampshire,Lancaster,Darryl Perry,LIB,35,FALSE
New Hampshire,Lancaster, Write-ins,WRI,5,FALSE
New Hampshire,Milan,Chris Sununu,REP,578,TRUE
New Hampshire,Milan,Dan Feltes,DEM,204,FALSE
New Hampshire,Milan,Darryl Perry,LIB,10,FALSE
New Hampshire,Milan, Write-ins,WRI,0,FALSE
New Hampshire,Millsfield,Chris Sununu,REP,22,TRUE
New Hampshire,Millsfield,Dan Feltes,DEM,0,FALSE
New Hampshire,Millsfield,Darryl Perry,LIB,0,FALSE
New Hampshire,Millsfield, Write-ins,WRI,0,FALSE
New Hampshire,Northumberland,Chris Sununu,REP,795,TRUE
New Hampshire,Northumberland,Dan Feltes,DEM,237,FALSE
New Hampshire,Northumberland,Darryl Perry,LIB,11,FALSE
New Hampshire,Northumberland, Write-ins,WRI,0,FALSE
New Hampshire,Pittsburg,Chris Sununu,REP,474,TRUE
New Hampshire,Pittsburg,Dan Feltes,DEM,66,FALSE
New Hampshire,Pittsburg,Darryl Perry,LIB,1,FALSE
New Hampshire,Pittsburg, Write-ins,WRI,0,FALSE
New Hampshire,Randolph,Chris Sununu,REP,143,TRUE
New Hampshire,Randolph,Dan Feltes,DEM,128,FALSE
New Hampshire,Randolph,Darryl Perry,LIB,1,FALSE
New Hampshire,Randolph, Write-ins,WRI,0,FALSE
New Hampshire,Shelburne,Chris Sununu,REP,160,TRUE
New Hampshire,Shelburne,Dan Feltes,DEM,85,FALSE
New Hampshire,Shelburne,Darryl Perry,LIB,3,FALSE
New Hampshire,Shelburne, Write-ins,WRI,0,FALSE
New Hampshire,Stark,Chris Sununu,REP,227,TRUE
New Hampshire,Stark,Dan Feltes,DEM,61,FALSE
New Hampshire,Stark,Darryl Perry,LIB,4,FALSE
New Hampshire,Stark, Write-ins,WRI,0,FALSE
New Hampshire,Stewartstown,Chris Sununu,REP,326,TRUE
New Hampshire,Stewartstown,Dan Feltes,DEM,65,FALSE
New Hampshire,Stewartstown,Darryl Perry,LIB,2,FALSE
New Hampshire,Stewartstown, Write-ins,WRI,0,FALSE
New Hampshire,Stratford,Chris Sununu,REP,199,TRUE
New Hampshire,Stratford,Dan Feltes,DEM,90,FALSE
New Hampshire,Stratford,Darryl Perry,LIB,7,FALSE
New Hampshire,Stratford, Write-ins,WRI,0,FALSE
New Hampshire,Wentworth's Location,Chris Sununu,REP,15,TRUE
New Hampshire,Wentworth's Location,Dan Feltes,DEM,3,FALSE
New Hampshire,Wentworth's Location, Write-ins,WRI,2,FALSE
New Hampshire,Wentworth's Location,Darryl Perry,LIB,0,FALSE
New Hampshire,Whitefield,Chris Sununu,REP,888,TRUE
New Hampshire,Whitefield,Dan Feltes,DEM,400,FALSE
New Hampshire,Whitefield,Darryl Perry,LIB,14,FALSE
New Hampshire,Whitefield, Write-ins,WRI,0,FALSE
New Hampshire,Alexandria,Chris Sununu,REP,775,TRUE
New Hampshire,Alexandria,Dan Feltes,DEM,267,FALSE
New Hampshire,Alexandria,Darryl Perry,LIB,26,FALSE
New Hampshire,Alexandria, Write-ins,WRI,0,FALSE
New Hampshire,Ashland,Chris Sununu,REP,792,TRUE
New Hampshire,Ashland,Dan Feltes,DEM,382,FALSE
New Hampshire,Ashland,Darryl Perry,LIB,19,FALSE
New Hampshire,Ashland, Write-ins,WRI,0,FALSE
New Hampshire,Bath,Chris Sununu,REP,431,TRUE
New Hampshire,Bath,Dan Feltes,DEM,171,FALSE
New Hampshire,Bath,Darryl Perry,LIB,11,FALSE
New Hampshire,Bath, Write-ins,WRI,0,FALSE
New Hampshire,Benton,Chris Sununu,REP,179,TRUE
New Hampshire,Benton,Dan Feltes,DEM,46,FALSE
New Hampshire,Benton,Darryl Perry,LIB,8,FALSE
New Hampshire,Benton, Write-ins,WRI,0,FALSE
New Hampshire,Bethlehem,Chris Sununu,REP,910,TRUE
New Hampshire,Bethlehem,Dan Feltes,DEM,694,FALSE
New Hampshire,Bethlehem,Darryl Perry,LIB,35,FALSE
New Hampshire,Bethlehem, Write-ins,WRI,0,FALSE
New Hampshire,Bridgewater,Chris Sununu,REP,607,TRUE
New Hampshire,Bridgewater,Dan Feltes,DEM,231,FALSE
New Hampshire,Bridgewater,Darryl Perry,LIB,9,FALSE
New Hampshire,Bridgewater, Write-ins,WRI,1,FALSE
New Hampshire,Bristol,Chris Sununu,REP,1317,TRUE
New Hampshire,Bristol,Dan Feltes,DEM,495,FALSE
New Hampshire,Bristol,Darryl Perry,LIB,28,FALSE
New Hampshire,Bristol, Write-ins,WRI,6,FALSE
New Hampshire,Campton,Chris Sununu,REP,1358,TRUE
New Hampshire,Campton,Dan Feltes,DEM,713,FALSE
New Hampshire,Campton,Darryl Perry,LIB,36,FALSE
New Hampshire,Campton, Write-ins,WRI,0,FALSE
New Hampshire,Canaan,Chris Sununu,REP,1291,TRUE
New Hampshire,Canaan,Dan Feltes,DEM,741,FALSE
New Hampshire,Canaan,Darryl Perry,LIB,24,FALSE
New Hampshire,Canaan, Write-ins,WRI,0,FALSE
New Hampshire,Dorchester,Chris Sununu,REP,153,TRUE
New Hampshire,Dorchester,Dan Feltes,DEM,71,FALSE
New Hampshire,Dorchester,Darryl Perry,LIB,5,FALSE
New Hampshire,Dorchester, Write-ins,WRI,0,FALSE
New Hampshire,Easton,Dan Feltes,DEM,127,TRUE
New Hampshire,Easton,Chris Sununu,REP,98,FALSE
New Hampshire,Easton,Darryl Perry,LIB,8,FALSE
New Hampshire,Easton, Write-ins,WRI,0,FALSE
New Hampshire,Ellsworth,Chris Sununu,REP,43,TRUE
New Hampshire,Ellsworth,Dan Feltes,DEM,32,FALSE
New Hampshire,Ellsworth,Darryl Perry,LIB,1,FALSE
New Hampshire,Ellsworth, Write-ins,WRI,0,FALSE
New Hampshire,Enfield,Chris Sununu,REP,1513,TRUE
New Hampshire,Enfield,Dan Feltes,DEM,1184,FALSE
New Hampshire,Enfield,Darryl Perry,LIB,40,FALSE
New Hampshire,Enfield, Write-ins,WRI,0,FALSE
New Hampshire,Franconia,Chris Sununu,REP,418,TRUE
New Hampshire,Franconia,Dan Feltes,DEM,379,FALSE
New Hampshire,Franconia,Darryl Perry,LIB,9,FALSE
New Hampshire,Franconia, Write-ins,WRI,0,FALSE
New Hampshire,Grafton,Chris Sununu,REP,544,TRUE
New Hampshire,Grafton,Dan Feltes,DEM,213,FALSE
New Hampshire,Grafton,Darryl Perry,LIB,21,FALSE
New Hampshire,Grafton, Write-ins,WRI,0,FALSE
New Hampshire,Groton,Chris Sununu,REP,277,TRUE
New Hampshire,Groton,Dan Feltes,DEM,90,FALSE
New Hampshire,Groton,Darryl Perry,LIB,8,FALSE
New Hampshire,Groton, Write-ins,WRI,0,FALSE
New Hampshire,Hanover,Dan Feltes,DEM,5020,TRUE
New Hampshire,Hanover,Chris Sununu,REP,1742,FALSE
New Hampshire,Hanover,Darryl Perry,LIB,76,FALSE
New Hampshire,Hanover, Write-ins,WRI,0,FALSE
New Hampshire,Haverhill,Chris Sununu,REP,1516,TRUE
New Hampshire,Haverhill,Dan Feltes,DEM,560,FALSE
New Hampshire,Haverhill,Darryl Perry,LIB,34,FALSE
New Hampshire,Haverhill, Write-ins,WRI,0,FALSE
New Hampshire,Hebron,Chris Sununu,REP,390,TRUE
New Hampshire,Hebron,Dan Feltes,DEM,122,FALSE
New Hampshire,Hebron,Darryl Perry,LIB,4,FALSE
New Hampshire,Hebron, Write-ins,WRI,1,FALSE
New Hampshire,Holderness,Chris Sununu,REP,843,TRUE
New Hampshire,Holderness,Dan Feltes,DEM,618,FALSE
New Hampshire,Holderness,Darryl Perry,LIB,14,FALSE
New Hampshire,Holderness, Write-ins,WRI,0,FALSE
New Hampshire,Landaff,Chris Sununu,REP,178,TRUE
New Hampshire,Landaff,Dan Feltes,DEM,79,FALSE
New Hampshire,Landaff,Darryl Perry,LIB,2,FALSE
New Hampshire,Landaff, Write-ins,WRI,0,FALSE
New Hampshire,Lebanon,Dan Feltes,DEM,4335,TRUE
New Hampshire,Lebanon,Chris Sununu,REP,3394,FALSE
New Hampshire,Lebanon,Darryl Perry,LIB,108,FALSE
New Hampshire,Lebanon, Write-ins,WRI,0,FALSE
New Hampshire,Lincoln,Chris Sununu,REP,630,TRUE
New Hampshire,Lincoln,Dan Feltes,DEM,265,FALSE
New Hampshire,Lincoln,Darryl Perry,LIB,12,FALSE
New Hampshire,Lincoln, Write-ins,WRI,0,FALSE
New Hampshire,Lisbon,Chris Sununu,REP,553,TRUE
New Hampshire,Lisbon,Dan Feltes,DEM,223,FALSE
New Hampshire,Lisbon,Darryl Perry,LIB,12,FALSE
New Hampshire,Lisbon, Write-ins,WRI,2,FALSE
New Hampshire,Littleton,Chris Sununu,REP,2130,TRUE
New Hampshire,Littleton,Dan Feltes,DEM,925,FALSE
New Hampshire,Littleton,Darryl Perry,LIB,43,FALSE
New Hampshire,Littleton, Write-ins,WRI,0,FALSE
New Hampshire,Lyman,Chris Sununu,REP,252,TRUE
New Hampshire,Lyman,Dan Feltes,DEM,118,FALSE
New Hampshire,Lyman,Darryl Perry,LIB,9,FALSE
New Hampshire,Lyman, Write-ins,WRI,0,FALSE
New Hampshire,Lyme,Dan Feltes,DEM,869,TRUE
New Hampshire,Lyme,Chris Sununu,REP,397,FALSE
New Hampshire,Lyme,Darryl Perry,LIB,7,FALSE
New Hampshire,Lyme, Write-ins,WRI,0,FALSE
New Hampshire,Monroe,Chris Sununu,REP,378,TRUE
New Hampshire,Monroe,Dan Feltes,DEM,148,FALSE
New Hampshire,Monroe,Darryl Perry,LIB,9,FALSE
New Hampshire,Monroe, Write-ins,WRI,0,FALSE
New Hampshire,Orange,Chris Sununu,REP,127,TRUE
New Hampshire,Orange,Dan Feltes,DEM,57,FALSE
New Hampshire,Orange,Darryl Perry,LIB,7,FALSE
New Hampshire,Orange, Write-ins,WRI,0,FALSE
New Hampshire,Orford,Chris Sununu,REP,415,TRUE
New Hampshire,Orford,Dan Feltes,DEM,399,FALSE
New Hampshire,Orford,Darryl Perry,LIB,9,FALSE
New Hampshire,Orford, Write-ins,WRI,0,FALSE
New Hampshire,Piermont,Chris Sununu,REP,282,TRUE
New Hampshire,Piermont,Dan Feltes,DEM,151,FALSE
New Hampshire,Piermont,Darryl Perry,LIB,6,FALSE
New Hampshire,Piermont, Write-ins,WRI,0,FALSE
New Hampshire,Plymouth,Chris Sununu,REP,1690,TRUE
New Hampshire,Plymouth,Dan Feltes,DEM,1530,FALSE
New Hampshire,Plymouth,Darryl Perry,LIB,94,FALSE
New Hampshire,Plymouth, Write-ins,WRI,0,FALSE
New Hampshire,Rumney,Chris Sununu,REP,644,TRUE
New Hampshire,Rumney,Dan Feltes,DEM,281,FALSE
New Hampshire,Rumney,Darryl Perry,LIB,18,FALSE
New Hampshire,Rumney, Write-ins,WRI,0,FALSE
New Hampshire,Sugar Hill,Chris Sununu,REP,247,TRUE
New Hampshire,Sugar Hill,Dan Feltes,DEM,231,FALSE
New Hampshire,Sugar Hill,Darryl Perry,LIB,4,FALSE
New Hampshire,Sugar Hill, Write-ins,WRI,0,FALSE
New Hampshire,Thornton,Chris Sununu,REP,1087,TRUE
New Hampshire,Thornton,Dan Feltes,DEM,573,FALSE
New Hampshire,Thornton,Darryl Perry,LIB,29,FALSE
New Hampshire,Thornton, Write-ins,WRI,0,FALSE
New Hampshire,Warren,Chris Sununu,REP,339,TRUE
New Hampshire,Warren,Dan Feltes,DEM,123,FALSE
New Hampshire,Warren,Darryl Perry,LIB,14,FALSE
New Hampshire,Warren, Write-ins,WRI,0,FALSE
New Hampshire,Waterville,Chris Sununu,REP,222,TRUE
New Hampshire,Waterville,Dan Feltes,DEM,142,FALSE
New Hampshire,Waterville,Darryl Perry,LIB,4,FALSE
New Hampshire,Waterville, Write-ins,WRI,0,FALSE
New Hampshire,Wentworth,Chris Sununu,REP,444,TRUE
New Hampshire,Wentworth,Dan Feltes,DEM,155,FALSE
New Hampshire,Wentworth,Darryl Perry,LIB,14,FALSE
New Hampshire,Wentworth, Write-ins,WRI,5,FALSE
New Hampshire,Woodstock,Chris Sununu,REP,568,TRUE
New Hampshire,Woodstock,Dan Feltes,DEM,263,FALSE
New Hampshire,Woodstock,Darryl Perry,LIB,21,FALSE
New Hampshire,Woodstock, Write-ins,WRI,0,FALSE
New Hampshire,Amherst,Chris Sununu,REP,4960,TRUE
New Hampshire,Amherst,Dan Feltes,DEM,2913,FALSE
New Hampshire,Amherst,Darryl Perry,LIB,105,FALSE
New Hampshire,Amherst, Write-ins,WRI,0,FALSE
New Hampshire,Antrim,Chris Sununu,REP,1006,TRUE
New Hampshire,Antrim,Dan Feltes,DEM,535,FALSE
New Hampshire,Antrim,Darryl Perry,LIB,24,FALSE
New Hampshire,Antrim, Write-ins,WRI,2,FALSE
New Hampshire,Bedford,Chris Sununu,REP,10493,TRUE
New Hampshire,Bedford,Dan Feltes,DEM,4077,FALSE
New Hampshire,Bedford,Darryl Perry,LIB,98,FALSE
New Hampshire,Bedford, Write-ins,WRI,0,FALSE
New Hampshire,Bennington,Chris Sununu,REP,521,TRUE
New Hampshire,Bennington,Dan Feltes,DEM,279,FALSE
New Hampshire,Bennington,Darryl Perry,LIB,21,FALSE
New Hampshire,Bennington, Write-ins,WRI,1,FALSE
New Hampshire,Brookline,Chris Sununu,REP,2445,TRUE
New Hampshire,Brookline,Dan Feltes,DEM,1101,FALSE
New Hampshire,Brookline,Darryl Perry,LIB,50,FALSE
New Hampshire,Brookline, Write-ins,WRI,0,FALSE
New Hampshire,Deering,Chris Sununu,REP,836,TRUE
New Hampshire,Deering,Dan Feltes,DEM,292,FALSE
New Hampshire,Deering,Darryl Perry,LIB,16,FALSE
New Hampshire,Deering, Write-ins,WRI,0,FALSE
New Hampshire,Francestown,Chris Sununu,REP,706,TRUE
New Hampshire,Francestown,Dan Feltes,DEM,400,FALSE
New Hampshire,Francestown,Darryl Perry,LIB,23,FALSE
New Hampshire,Francestown, Write-ins,WRI,0,FALSE
New Hampshire,Goffstown,Chris Sununu,REP,7284,TRUE
New Hampshire,Goffstown,Dan Feltes,DEM,2714,FALSE
New Hampshire,Goffstown,Darryl Perry,LIB,123,FALSE
New Hampshire,Goffstown, Write-ins,WRI,0,FALSE
New Hampshire,Greenfield,Chris Sununu,REP,636,TRUE
New Hampshire,Greenfield,Dan Feltes,DEM,357,FALSE
New Hampshire,Greenfield,Darryl Perry,LIB,8,FALSE
New Hampshire,Greenfield, Write-ins,WRI,0,FALSE
New Hampshire,Greenville,Chris Sununu,REP,721,TRUE
New Hampshire,Greenville,Dan Feltes,DEM,305,FALSE
New Hampshire,Greenville,Darryl Perry,LIB,25,FALSE
New Hampshire,Greenville, Write-ins,WRI,0,FALSE
New Hampshire,Hancock,Dan Feltes,DEM,658,TRUE
New Hampshire,Hancock,Chris Sununu,REP,605,FALSE
New Hampshire,Hancock,Darryl Perry,LIB,13,FALSE
New Hampshire,Hancock, Write-ins,WRI,0,FALSE
New Hampshire,Hillsborough,Chris Sununu,REP,2214,TRUE
New Hampshire,Hillsborough,Dan Feltes,DEM,955,FALSE
New Hampshire,Hillsborough,Darryl Perry,LIB,61,FALSE
New Hampshire,Hillsborough, Write-ins,WRI,0,FALSE
New Hampshire,Hollis,Chris Sununu,REP,3582,TRUE
New Hampshire,Hollis,Dan Feltes,DEM,2005,FALSE
New Hampshire,Hollis,Darryl Perry,LIB,56,FALSE
New Hampshire,Hollis, Write-ins,WRI,0,FALSE
New Hampshire,Hudson,Chris Sununu,REP,10546,TRUE
New Hampshire,Hudson,Dan Feltes,DEM,3726,FALSE
New Hampshire,Hudson,Darryl Perry,LIB,175,FALSE
New Hampshire,Hudson, Write-ins,WRI,7,FALSE
New Hampshire,Litchfield,Chris Sununu,REP,4064,TRUE
New Hampshire,Litchfield,Dan Feltes,DEM,1210,FALSE
New Hampshire,Litchfield,Darryl Perry,LIB,72,FALSE
New Hampshire,Litchfield, Write-ins,WRI,0,FALSE
New Hampshire,Lyndeborough,Chris Sununu,REP,742,TRUE
New Hampshire,Lyndeborough,Dan Feltes,DEM,370,FALSE
New Hampshire,Lyndeborough,Darryl Perry,LIB,21,FALSE
New Hampshire,Lyndeborough, Write-ins,WRI,0,FALSE
New Hampshire,Manchester,Chris Sununu,REP,32454,TRUE
New Hampshire,Manchester,Dan Feltes,DEM,16609,FALSE
New Hampshire,Manchester,Darryl Perry,LIB,1040,FALSE
New Hampshire,Manchester, Write-ins,WRI,0,FALSE
New Hampshire,Mason,Chris Sununu,REP,672,TRUE
New Hampshire,Mason,Dan Feltes,DEM,253,FALSE
New Hampshire,Mason,Darryl Perry,LIB,23,FALSE
New Hampshire,Mason, Write-ins,WRI,1,FALSE
New Hampshire,Merrimack,Chris Sununu,REP,11474,TRUE
New Hampshire,Merrimack,Dan Feltes,DEM,4835,FALSE
New Hampshire,Merrimack,Darryl Perry,LIB,263,FALSE
New Hampshire,Merrimack, Write-ins,WRI,0,FALSE
New Hampshire,Milford,Chris Sununu,REP,6121,TRUE
New Hampshire,Milford,Dan Feltes,DEM,2609,FALSE
New Hampshire,Milford,Darryl Perry,LIB,149,FALSE
New Hampshire,Milford, Write-ins,WRI,0,FALSE
New Hampshire,Mont Vernon,Chris Sununu,REP,1062,TRUE
New Hampshire,Mont Vernon,Dan Feltes,DEM,673,FALSE
New Hampshire,Mont Vernon,Darryl Perry,LIB,21,FALSE
New Hampshire,Mont Vernon, Write-ins,WRI,0,FALSE
New Hampshire,Nashua,Chris Sununu,REP,26741,TRUE
New Hampshire,Nashua,Dan Feltes,DEM,17056,FALSE
New Hampshire,Nashua,Darryl Perry,LIB,735,FALSE
New Hampshire,Nashua, Write-ins,WRI,0,FALSE
New Hampshire,New Boston,Chris Sununu,REP,2737,TRUE
New Hampshire,New Boston,Dan Feltes,DEM,1102,FALSE
New Hampshire,New Boston,Darryl Perry,LIB,44,FALSE
New Hampshire,New Boston, Write-ins,WRI,4,FALSE
New Hampshire,New Ipswich,Chris Sununu,REP,2479,TRUE
New Hampshire,New Ipswich,Dan Feltes,DEM,586,FALSE
New Hampshire,New Ipswich,Darryl Perry,LIB,50,FALSE
New Hampshire,New Ipswich, Write-ins,WRI,0,FALSE
New Hampshire,Pelham,Chris Sununu,REP,6609,TRUE
New Hampshire,Pelham,Dan Feltes,DEM,2020,FALSE
New Hampshire,Pelham,Darryl Perry,LIB,124,FALSE
New Hampshire,Pelham, Write-ins,WRI,0,FALSE
New Hampshire,Peterborough,Dan Feltes,DEM,2355,TRUE
New Hampshire,Peterborough,Chris Sununu,REP,1906,FALSE
New Hampshire,Peterborough,Darryl Perry,LIB,55,FALSE
New Hampshire,Peterborough, Write-ins,WRI,0,FALSE
New Hampshire,Sharon,Chris Sununu,REP,161,TRUE
New Hampshire,Sharon,Dan Feltes,DEM,107,FALSE
New Hampshire,Sharon,Darryl Perry,LIB,4,FALSE
New Hampshire,Sharon, Write-ins,WRI,0,FALSE
New Hampshire,Temple,Chris Sununu,REP,574,TRUE
New Hampshire,Temple,Dan Feltes,DEM,360,FALSE
New Hampshire,Temple,Darryl Perry,LIB,12,FALSE
New Hampshire,Temple, Write-ins,WRI,0,FALSE
New Hampshire,Weare,Chris Sununu,REP,4174,TRUE
New Hampshire,Weare,Dan Feltes,DEM,1248,FALSE
New Hampshire,Weare,Darryl Perry,LIB,72,FALSE
New Hampshire,Weare, Write-ins,WRI,2,FALSE
New Hampshire,Wilton,Chris Sununu,REP,1528,TRUE
New Hampshire,Wilton,Dan Feltes,DEM,881,FALSE
New Hampshire,Wilton,Darryl Perry,LIB,37,FALSE
New Hampshire,Wilton, Write-ins,WRI,0,FALSE
New Hampshire,Windsor,Chris Sununu,REP,100,TRUE
New Hampshire,Windsor,Dan Feltes,DEM,23,FALSE
New Hampshire,Windsor,Darryl Perry,LIB,4,FALSE
New Hampshire,Windsor, Write-ins,WRI,0,FALSE
New Hampshire,Allenstown,Chris Sununu,REP,1674,TRUE
New Hampshire,Allenstown,Dan Feltes,DEM,556,FALSE
New Hampshire,Allenstown,Darryl Perry,LIB,40,FALSE
New Hampshire,Allenstown, Write-ins,WRI,0,FALSE
New Hampshire,Andover,Chris Sununu,REP,945,TRUE
New Hampshire,Andover,Dan Feltes,DEM,623,FALSE
New Hampshire,Andover,Darryl Perry,LIB,14,FALSE
New Hampshire,Andover, Write-ins,WRI,5,FALSE
New Hampshire,Boscawen,Chris Sununu,REP,1427,TRUE
New Hampshire,Boscawen,Dan Feltes,DEM,557,FALSE
New Hampshire,Boscawen,Darryl Perry,LIB,39,FALSE
New Hampshire,Boscawen, Write-ins,WRI,0,FALSE
New Hampshire,Bow,Chris Sununu,REP,3436,TRUE
New Hampshire,Bow,Dan Feltes,DEM,2031,FALSE
New Hampshire,Bow,Darryl Perry,LIB,39,FALSE
New Hampshire,Bow, Write-ins,WRI,0,FALSE
New Hampshire,Bradford,Chris Sununu,REP,674,TRUE
New Hampshire,Bradford,Dan Feltes,DEM,363,FALSE
New Hampshire,Bradford,Darryl Perry,LIB,21,FALSE
New Hampshire,Bradford, Write-ins,WRI,3,FALSE
New Hampshire,Canterbury,Chris Sununu,REP,993,TRUE
New Hampshire,Canterbury,Dan Feltes,DEM,707,FALSE
New Hampshire,Canterbury,Darryl Perry,LIB,27,FALSE
New Hampshire,Canterbury, Write-ins,WRI,0,FALSE
New Hampshire,Chichester,Chris Sununu,REP,1249,TRUE
New Hampshire,Chichester,Dan Feltes,DEM,451,FALSE
New Hampshire,Chichester,Darryl Perry,LIB,23,FALSE
New Hampshire,Chichester, Write-ins,WRI,3,FALSE
New Hampshire,Concord,Chris Sununu,REP,12245,TRUE
New Hampshire,Concord,Dan Feltes,DEM,10972,FALSE
New Hampshire,Concord,Darryl Perry,LIB,297,FALSE
New Hampshire,Concord, Write-ins,WRI,7,FALSE
New Hampshire,Danbury,Chris Sununu,REP,525,TRUE
New Hampshire,Danbury,Dan Feltes,DEM,182,FALSE
New Hampshire,Danbury,Darryl Perry,LIB,17,FALSE
New Hampshire,Danbury, Write-ins,WRI,0,FALSE
New Hampshire,Dunbarton,Chris Sununu,REP,1449,TRUE
New Hampshire,Dunbarton,Dan Feltes,DEM,547,FALSE
New Hampshire,Dunbarton,Darryl Perry,LIB,20,FALSE
New Hampshire,Dunbarton, Write-ins,WRI,0,FALSE
New Hampshire,Epsom,Chris Sununu,REP,2228,TRUE
New Hampshire,Epsom,Dan Feltes,DEM,636,FALSE
New Hampshire,Epsom,Darryl Perry,LIB,43,FALSE
New Hampshire,Epsom, Write-ins,WRI,0,FALSE
New Hampshire,Franklin,Chris Sununu,REP,2923,TRUE
New Hampshire,Franklin,Dan Feltes,DEM,1104,FALSE
New Hampshire,Franklin,Darryl Perry,LIB,52,FALSE
New Hampshire,Franklin, Write-ins,WRI,10,FALSE
New Hampshire,Henniker,Chris Sununu,REP,1596,TRUE
New Hampshire,Henniker,Dan Feltes,DEM,1002,FALSE
New Hampshire,Henniker,Darryl Perry,LIB,61,FALSE
New Hampshire,Henniker, Write-ins,WRI,0,FALSE
New Hampshire,Hill,Chris Sununu,REP,486,TRUE
New Hampshire,Hill,Dan Feltes,DEM,133,FALSE
New Hampshire,Hill,Darryl Perry,LIB,13,FALSE
New Hampshire,Hill, Write-ins,WRI,1,FALSE
New Hampshire,Hooksett,Chris Sununu,REP,6282,TRUE
New Hampshire,Hooksett,Dan Feltes,DEM,2159,FALSE
New Hampshire,Hooksett,Darryl Perry,LIB,86,FALSE
New Hampshire,Hooksett, Write-ins,WRI,0,FALSE
New Hampshire,Hopkinton,Chris Sununu,REP,2094,TRUE
New Hampshire,Hopkinton,Dan Feltes,DEM,2026,FALSE
New Hampshire,Hopkinton,Darryl Perry,LIB,38,FALSE
New Hampshire,Hopkinton, Write-ins,WRI,0,FALSE
New Hampshire,Loudon,Chris Sununu,REP,2763,TRUE
New Hampshire,Loudon,Dan Feltes,DEM,890,FALSE
New Hampshire,Loudon,Darryl Perry,LIB,61,FALSE
New Hampshire,Loudon, Write-ins,WRI,6,FALSE
New Hampshire,Newbury,Chris Sununu,REP,1087,TRUE
New Hampshire,Newbury,Dan Feltes,DEM,543,FALSE
New Hampshire,Newbury,Darryl Perry,LIB,17,FALSE
New Hampshire,Newbury, Write-ins,WRI,0,FALSE
New Hampshire,New London,Chris Sununu,REP,1710,TRUE
New Hampshire,New London,Dan Feltes,DEM,1390,FALSE
New Hampshire,New London,Darryl Perry,LIB,22,FALSE
New Hampshire,New London, Write-ins,WRI,1,FALSE
New Hampshire,Northfield,Chris Sununu,REP,1912,TRUE
New Hampshire,Northfield,Dan Feltes,DEM,666,FALSE
New Hampshire,Northfield,Darryl Perry,LIB,50,FALSE
New Hampshire,Northfield, Write-ins,WRI,0,FALSE
New Hampshire,Pembroke,Chris Sununu,REP,2948,TRUE
New Hampshire,Pembroke,Dan Feltes,DEM,1302,FALSE
